Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J1,Conn_02x12_Top_Bottom,PinHeader_2x12_P2.54mm_Vertical,140.025,-105.725,-90.0,bottom
Q1,MBT2222A,MBT2222A,68.26,-104.39,90.0,top
Q2,MBT2222A,MBT2222A,83.8,-104.41,90.0,top
Q3,MBT2222A,MBT2222A,99.03,-103.06,180.0,top
Q4,MBT2222A,MBT2222A,98.93,-109.3,180.0,top
Q5,MBT2222A,MBT2222A,199.07,-104.48,90.0,top
Q6,MBT2222A,MBT2222A,218.46,-104.43,90.0,top
Q7,MBT2222A,MBT2222A,239.1,-104.44,90.0,top
R1,25000,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,68.25,-111.23,0.0,top
R2,25000,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,83.77,-111.16,0.0,top
R3,25000,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,99.08,-106.25,0.0,top
R4,25000,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,103.09,-112.71,0.0,top
R5,25000,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,199.08,-108.4125,180.0,top
R6,25000,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,218.49,-108.54,180.0,top
R7,25000,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,238.75,-108.25,180.0,top
R8,51,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,68.25,-108.64,0.0,top
R9,51,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,83.77,-108.62,0.0,top
R10,51,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,95.96,-112.71,0.0,top
R11,51,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,110.92,-112.76,0.0,top
R12,51,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,199.11,-111.1825,180.0,top
R13,51,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,218.47,-111.03,180.0,top
R14,51,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,238.83,-110.93,0.0,top
SW1,SW_Push_LED_YELLOW,SW_PUSH_LED_6mm_H7.3mm,60.5,-107.0,0.0,top
SW2,SW_Push_LED_YELLOW,SW_PUSH_LED_6mm_H7.3mm,76.0,-107.0,0.0,top
SW3,SW_Push_LED_YELLOW,SW_PUSH_LED_6mm_H7.3mm,91.5,-107.0,0.0,top
SW4,SW_Push_LED_YELLOW,SW_PUSH_LED_6mm_H7.3mm,107.0,-107.0,0.0,top
SW5,SW_Push_LED_YELLOW,SW_PUSH_LED_6mm_H7.3mm,207.0,-107.0,0.0,top
SW6,SW_Push_LED_YELLOW,SW_PUSH_LED_6mm_H7.3mm,226.875,-107.0,0.0,top
SW7,SW_Push_LED_YELLOW,SW_PUSH_LED_6mm_H7.3mm,246.75,-107.0,0.0,top
U1,SSD1312_I2C_128x64,OLED_SSD1312_I2C_0.96_No_Mounting_Holes,133.4,-107.95,0.0,top
U2,SSD1312_I2C_128x64,OLED_SSD1312_I2C_0.96_No_Mounting_Holes,174.6,-106.05,180.0,top
